"Scenario","Replicate","Generations","Length_of_benchmarking_reference","Distance_from_HXB2","Average_pairwise_diversity_of_quasispecies","ENV_diversity","Assembly","contigs_..._0_bp.","contigs_..._1000_bp.","contigs_..._5000_bp.","contigs_..._10000_bp.","contigs_..._25000_bp.","contigs_..._50000_bp.","Total_length_..._0_bp.","Total_length_..._1000_bp.","Total_length_..._5000_bp.","Total_length_..._10000_bp.","Total_length_..._25000_bp.","Total_length_..._50000_bp.","contigs","Largest_contig","Total_length","Reference_length","GC_...","Reference_GC_...","N50","NG50","L50","LG50","total_reads","left","right","Mapped_...","Reference_mapped_...","Properly_paired_...","Reference_properly_paired_...","Avg_coverage_depth","Reference_avg_coverage_depth","Coverage_.._1x_...","Reference_coverage_.._1x_...","misassemblies","misassembled_contigs","Misassembled_contigs_length","local_misassemblies","scaffold_gap_ext_mis","scaffold_gap_loc_mis","unaligned_mis_contigs","unaligned_contigs","Unaligned_length","Genome_fraction_...","Duplication_ratio","N.s_per_100_kbp","mismatches_per_100_kbp","indels_per_100_kbp","Largest_alignment","Total_aligned_length","NA50","NGA50","LA50","LGA50","ID","total_reads.1","left.1","right.1","mapped","Mapped_....1","properly_paired","Properly_paired_....1","singletons","Singletons_...","misjoint_mates","Misjoint_mates_...","Avg_coverage_depth.1","Coverage_.._1x_....1","Coverage_.._5x_...","Coverage_.._10x_...","reference_mapped","Reference_mapped_....1","reference_properly_paired","Reference_properly_paired_....1","reference_singletons","Reference_singletons_...","reference_misjoint_mates","Reference_misjoint_mates_...","Reference_avg_coverage_depth.1","Reference_coverage_.._1x_....1","Reference_coverage_.._5x_...","Reference_coverage_.._10x_...","Assembly.1","misassemblies.1","contig_misassemblies","c_relocations","c_translocations","c_inversions","scaffold_misassemblies","s_relocations","s_translocations","s_inversions","misassembled_contigs.1","Misassembled_contigs_length.1","local_misassemblies.1","scaffold_gap_ext_mis.1","scaffold_gap_loc_mis.1","unaligned_mis_contigs.1","mismatches","indels","indels_..._5_bp.","indels_.._5_bp.","Indels_length","fully_unaligned_contigs","Fully_unaligned_length","partially_unaligned_contigs","Partially_unaligned_length","N.s","pos_correct","poserr_major","poserr_ltr","poserr_unmapped","poserr_extramapped","Accuracy","Precision","Sensitivity","Specificity","F1score","User_time","System_time","Elapsed_time","MRSS","File_outputs","CPU_percentage"
"V2.141","SIM_A1_lowcov_cont","replicate10",113,8656,1098,41.792525,2.890707,"smaltalign_genome",1,1,1,0,0,0,8638,8638,8638,0,0,0,1,8638,8638,8656,"40.85",40.81,8638,"8638",1,"1",17600,8800,8800,99.51,99.66,99.01,99.32,506,506,99.91,100,"0","0","0","0","0","0","0","0 + 0 part",0,"99.687","1.003",0,"162.58","34.84","8611","8611","8611","8611","1","1","SIM_A1_lowcov_cont_replicate10_smaltalign_genome",17600,8800,8800,17513,99.51,17426,99.01,87,0.49,0,0,506,99.91,99.87,99.79,17540,99.66,17480,99.32,60,0.34,0,0,506,100,99.97,99.73,"smaltalign_genome","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","14","3","2","1","18",0,0,"0","0",0,17513,0,0,87,0,0.995625,0.925837,0.982234,0.996261,0.953202,360.06,4.04," 1;47.55",1431600,389280," 338%"
"V2.241","SIM_A1_lowcov_cont","replicate10",113,8656,1098,41.792525,2.890707,"viralngs_genome",1,1,1,0,0,0,8637,8637,8637,0,0,0,1,8637,8637,8656,"40.81",40.81,8637,"8637",1,"1",17600,8800,8800,99.66,99.66,99.32,99.32,507,506,100,100,"0","0","0","0","0","0","0","0 + 0 part",0,"99.988","1",0,"0","34.73","8637","8637","8637","8637","1","1","SIM_A1_lowcov_cont_replicate10_viralngs_genome",17600,8800,8800,17540,99.66,17480,99.32,60,0.34,0,0,507,100,99.98,99.9,17540,99.66,17480,99.32,60,0.34,0,0,506,100,99.97,99.73,"viralngs_genome","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","2","1","18",0,0,"0","0",0,17540,0,0,60,0,0.995971,0.930456,0.984772,0.996503,0.956843,92.09,7.26," 0;56.29",684504,423640," 176%"
"V2.341","SIM_A1_lowcov_cont","replicate10",113,8656,1098,41.792525,2.890707,"vpipe_genome",1,1,1,0,0,0,8638,8638,8638,0,0,0,1,8638,8638,8656,"41.13",40.81,8638,"8638",1,"1",17600,8800,8800,94.75,99.66,90.07,99.32,478,506,99.24,100,"0","0","0","1","0","0","0","0 + 0 part",0,"97.465","1.026",0,"1140.28","237.56","8424","8424","8424","8424","1","1","SIM_A1_lowcov_cont_replicate10_vpipe_genome",17600,8800,8800,16676,94.75,15852,90.07,824,4.68,0,0,478,99.24,99.2,99.12,17540,99.66,17480,99.32,60,0.34,0,0,506,100,99.97,99.73,"vpipe_genome","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","96","20","15","5","93",0,0,"0","0",0,16676,0,0,924,0,0.982731,0.777273,0.86802,0.988181,0.820144,373.25,126.13," 4;33.76",1185248,12042600," 182%"
"V242","SIM_A1_lowcov_cont","replicate11",400,8639,1112,108.185253,7.610101,"shiver_genome",1,1,1,0,0,0,8624,8624,8624,0,0,0,1,8624,8624,8639,"40.67",40.7,8624,"8624",1,"1",15435,8800,8800,113.57,113.52,113.11,113.06,507,507,100,100,"0","0","0","0","0","0","0","0 + 0 part",0,"100","1",0,"34.79","57.98","8624","8624","8624","8624","1","1","SIM_A1_lowcov_cont_replicate11_shiver_genome",15435,8800,8800,17529,113.57,17458,113.11,71,0.46,0,0,507,100,99.94,99.9,17529,113.52,17458,113.06,71,0.46,0,0,507,100,99.94,99.9,"shiver_genome","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","5","5","0","15",0,0,"0","0",0,17529,0,0,71,0,0.998847,0.984639,1,0.998755,0.99226,1880.16,38.3," 31;05.89",1345760,7945472," 102%"
"V2.142","SIM_A1_lowcov_cont","replicate11",400,8639,1112,108.185253,7.610101,"smaltalign_genome",1,1,1,0,0,0,8624,8624,8624,0,0,0,1,8624,8624,8639,"40.7",40.7,8624,"8624",1,"1",15430,8800,8800,113.47,113.52,112.87,113.06,506,507,100,100,"0","0","0","0","0","0","0","0 + 0 part",0,"99.849","1",0,"220.65","58.07","8611","8611","8611","8611","1","1","SIM_A1_lowcov_cont_replicate11_smaltalign_genome",15430,8800,8800,17508,113.47,17416,112.87,92,0.6,0,0,506,100,99.94,99.9,17529,113.52,17458,113.06,71,0.46,0,0,507,100,99.94,99.9,"smaltalign_genome","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","19","5","5","0","15",0,0,"0","0",0,17508,0,0,92,0,0.99781,0.974085,0.99688,0.997884,0.985351,368.45,4.04," 1;53.02",1431508,394000," 329%"
"V2.242","SIM_A1_lowcov_cont","replicate11",400,8639,1112,108.185253,7.610101,"viralngs_genome",1,1,1,0,0,0,8613,8613,8613,0,0,0,1,8613,8613,8639,"40.6",40.7,8613,"8613",1,"1",15435,8800,8800,113.57,113.52,113.11,113.06,507,507,100,100,"0","0","0","0","0","0","0","0 + 0 part",0,"99.942","0.999",0,"104.49","69.66","8613","8613","8613","8613","1","1","SIM_A1_lowcov_cont_replicate11_viralngs_genome",15435,8800,8800,17529,113.57,17458,113.11,71,0.46,0,0,507,100,100,99.95,17529,113.52,17458,113.06,71,0.46,0,0,507,100,99.94,99.9,"viralngs_genome","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","9","6","5","1","21",0,0,"0","0",0,17529,0,0,71,0,0.998732,0.983129,1,0.998631,0.991493,106.46,6.54," 0;49.76",749556,455952," 227%"
"V2.342","SIM_A1_lowcov_cont","replicate11",400,8639,1112,108.185253,7.610101,"vpipe_genome",1,1,1,0,0,0,8635,8635,8635,0,0,0,1,8635,8635,8639,"40.98",40.7,8635,"8635",1,"1",15298,8800,8800,109.18,113.52,103.99,113.06,477,507,99.27,100,"0","0","0","0","0","0","0","0 + 0 part",0,"99.849","1.001",0,"2273.25","591.51","8622","8622","8622","8622","1","1","SIM_A1_lowcov_cont_replicate11_vpipe_genome",15298,8800,8800,16703,109.18,15908,103.99,795,5.2,0,0,477,99.27,99.21,99.17,17529,113.52,17458,113.06,71,0.46,0,0,507,100,99.94,99.9,"vpipe_genome","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","196","51","44","7","142",0,0,"0","0",0,16703,0,0,897,0,0.984784,0.886191,0.911076,0.990665,0.898462,384.56,139.05," 4;55.51",1185756,13240424," 177%"
"V243","SIM_A1_lowcov_cont","replicate12",1161,8645,1157,297.71556,19.17758,"shiver_genome",1,1,1,0,0,0,8618,8618,8618,0,0,0,1,8618,8618,8645,"40.66",40.68,8618,"8618",1,"1",15691,8800,8800,111.57,111.53,110.97,110.92,506,506,100,100,"0","0","0","0","0","0","0","0 + 0 part",0,"100","1",0,"243.68","92.83","8618","8618","8618","8618","1","1","SIM_A1_lowcov_cont_replicate12_shiver_genome",15691,8800,8800,17506,111.57,17412,110.97,94,0.6,0,0,506,100,99.98,99.92,17505,111.53,17410,110.92,95,0.61,0,0,506,100,99.98,99.92,"shiver_genome","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","21","8","7","1","27",0,0,"0","0",0,17505,0,0,94,1,0.998159,0.988645,0.999235,0.997968,0.993912,3505.06,56.89," 57;29.64",1343312,14885184," 103%"
"V2.143","SIM_A1_lowcov_cont","replicate12",1161,8645,1157,297.71556,19.17758,"smaltalign_genome",1,1,1,0,0,0,8621,8621,8621,0,0,0,1,8621,8621,8645,"40.66",40.68,8621,"8621",1,"1",15689,8800,8800,111.49,111.53,110.79,110.92,506,506,100,100,"0","0","0","0","0","0","0","0 + 0 part",0,"99.455","1",0,"338.23","81.64","8574","8574","8574","8574","1","1","SIM_A1_lowcov_cont_replicate12_smaltalign_genome",15689,8800,8800,17491,111.49,17382,110.79,109,0.69,0,0,506,100,99.91,99.85,17505,111.53,17410,110.92,95,0.61,0,0,506,100,99.98,99.92,"smaltalign_genome","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","29","7","6","1","24",0,0,"0","0",0,17491,0,0,109,0,0.997814,0.989362,0.996174,0.998104,0.992756,407.71,4.68," 2;27.53",1436624,403992," 279%"
"V2.243","SIM_A1_lowcov_cont","replicate12",1161,8645,1157,297.71556,19.17758,"viralngs_genome",1,1,1,0,0,0,8622,8622,8622,0,0,0,1,8622,8622,8645,"39.5",40.68,8622,"8622",1,"1",15346,8800,8800,69.13,111.53,43.49,110.92,296,506,70.62,100,"0","0","0","0","0","8","0","0 + 0 part",0,"75.2","1",27383.44,"986.74","61.67","6486","6486","6486","6486","1","1","SIM_A1_lowcov_cont_replicate12_viralngs_genome",15346,8800,8800,10608,69.13,6674,43.49,3934,25.64,0,0,296,70.62,70.62,70.56,17505,111.53,17410,110.92,95,0.61,0,0,506,100,99.98,99.92,"viralngs_genome","0","0","0","0","0","0","0","0","0","0","0","0","0","8","0","64","4","3","1","15",0,0,"0","0",2361,10608,0,0,6992,0,0.929574,0.980636,0.542464,0.998104,0.698522,98.73,5.79," 0;40.68",674920,465696," 256%"
"V2.343","SIM_A1_lowcov_cont","replicate12",1161,8645,1157,297.71556,19.17758,"vpipe_genome",1,1,1,0,0,0,8611,8611,8611,0,0,0,1,8611,8611,8645,"41.08",40.68,8611,"8611",1,"1",15428,8800,8800,102.06,111.53,92.12,110.92,450,506,99.27,100,"0","0","0","0","0","0","0","0 + 0 part",0,"98.098","0.999",0,"2663.67","686.63","8447","8447","8447","8447","1","1","SIM_A1_lowcov_cont_replicate12_vpipe_genome",15428,8800,8800,15746,102.06,14212,92.12,1534,9.94,0,0,450,99.27,99.18,99.12,17505,111.53,17410,110.92,95,0.61,0,0,506,100,99.98,99.92,"vpipe_genome","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","225","58","50","8","182",0,0,"0","0",0,15746,0,0,1854,0,0.97664,0.950245,0.891354,0.991738,0.919858,417.25,153.69," 5;21.33",1182064,13239968," 177%"
"V244","SIM_A1_lowcov_cont","replicate13",704,8651,1155,120.803232,8.522828,"shiver_genome",1,1,1,0,0,0,8627,8627,8627,0,0,0,1,8627,8627,8651,"40.66",40.66,8627,"8627",1,"1",15539,8800,8800,112.76,112.75,112.26,112.25,507,506,100,100,"0","0","0","0","0","0","0","0 + 0 part",0,"100","1",0,"0","69.55","8627","8627","8627","8627","1","1","SIM_A1_lowcov_cont_replicate13_shiver_genome",15539,8800,8800,17522,112.76,17444,112.26,78,0.5,0,0,507,100,99.97,99.93,17522,112.75,17444,112.25,78,0.5,0,0,506,100,99.97,99.93,"shiver_genome","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6","5","1","24",0,0,"0","0",0,17522,0,0,78,0,0.998964,0.988916,1,0.998858,0.994427,2118.88,42.18," 35;17.31",1347392,9059968," 102%"
"V2.144","SIM_A1_lowcov_cont","replicate13",704,8651,1155,120.803232,8.522828,"smaltalign_genome",1,1,1,0,0,0,8627,8627,8627,0,0,0,1,8627,8627,8651,"40.64",40.66,8627,"8627",1,"1",15539,8800,8800,112.76,112.75,112.26,112.25,507,506,100,100,"0","0","0","0","0","0","0","0 + 0 part",0,"100","1",0,"23.18","69.55","8627","8627","8627","8627","1","1","SIM_A1_lowcov_cont_replicate13_smaltalign_genome",15539,8800,8800,17522,112.76,17444,112.26,78,0.5,0,0,507,100,99.97,99.93,17522,112.75,17444,112.25,78,0.5,0,0,506,100,99.97,99.93,"smaltalign_genome","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","6","5","1","24",0,0,"0","0",0,17522,0,0,78,0,0.998964,0.988916,1,0.998858,0.994427,380.99,4.33," 2;04.91",1436576,395344," 308%"
"V2.244","SIM_A1_lowcov_cont","replicate13",704,8651,1155,120.803232,8.522828,"viralngs_genome",1,1,1,0,0,0,8617,8617,8617,0,0,0,1,8617,8617,8651,"40.61",40.66,8617,"8617",1,"1",15462,8800,8800,110.55,112.75,107.27,112.25,493,506,98.92,100,"0","0","0","0","0","0","0","0 + 0 part",0,"99.849","1",1079.26,"46.42","58.02","8617","8617","8617","8617","1","1","SIM_A1_lowcov_cont_replicate13_viralngs_genome",15462,8800,8800,17093,110.55,16586,107.27,507,3.28,0,0,493,98.92,98.92,98.92,17522,112.75,17444,112.25,78,0.5,0,0,506,100,99.97,99.93,"viralngs_genome","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","5","4","1","21",0,0,"0","0",93,17093,0,0,507,0,0.994475,0.985843,0.953923,0.998605,0.96962,102.48,5.96," 0;44.22",737956,456760," 245%"
"V2.344","SIM_A1_lowcov_cont","replicate13",704,8651,1155,120.803232,8.522828,"vpipe_genome",1,1,1,0,0,0,8638,8638,8638,0,0,0,1,8638,8638,8651,"40.97",40.66,8638,"8638",1,"1",15437,8800,8800,108.08,112.75,102.8,112.25,478,506,99.22,100,"0","0","0","0","0","0","0","0 + 0 part",0,"99.849","1.001",0,"1866.67","463.77","8625","8625","8625","8625","1","1","SIM_A1_lowcov_cont_replicate13_vpipe_genome",15437,8800,8800,16684,108.08,15870,102.8,814,5.27,0,0,478,99.22,99.19,99.15,17522,112.75,17444,112.25,78,0.5,0,0,506,100,99.97,99.93,"vpipe_genome","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","161","40","32","8","133",0,0,"0","0",0,16684,0,0,916,0,0.986416,0.93854,0.912827,0.993912,0.925505,400.69,142.61," 5;08.11",1186312,13240984," 176%"
"V245","SIM_A1_lowcov_cont","replicate14",1384,8639,1261,334.0667,23.5901,"shiver_genome",1,1,1,0,0,0,8621,8621,8621,0,0,0,1,8621,8621,8639,"40.04",40.03,8621,"8621",1,"1",15564,8800,8800,112.47,112.44,111.86,111.83,506,506,100,100,"0","0","0","0","0","0","0","0 + 0 part",0,"100","1",0,"0","69.6","8621","8621","8621","8621","1","1","SIM_A1_lowcov_cont_replicate14_shiver_genome",15564,8800,8800,17505,112.47,17410,111.86,95,0.61,0,0,506,100,99.95,99.91,17505,112.44,17410,111.83,95,0.61,0,0,506,100,99.95,99.91,"shiver_genome","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6","6","0","18",0,0,"0","0",0,17505,0,0,95,0,0.998963,0.992724,1,0.998792,0.996349,3702.28,62.93," 1;00;34",1344420,16851896," 103%"
"V2.145","SIM_A1_lowcov_cont","replicate14",1384,8639,1261,334.0667,23.5901,"smaltalign_genome",1,1,1,0,0,0,8624,8624,8624,0,0,0,1,8624,8624,8639,"40.11",40.03,8624,"8624",1,"1",15562,8800,8800,112.41,112.44,111.73,111.83,505,506,99.93,100,"0","0","0","0","0","0","0","0 + 0 part",0,"99.455","1.001",0,"291.48","58.3","8577","8577","8577","8577","1","1","SIM_A1_lowcov_cont_replicate14_smaltalign_genome",15562,8800,8800,17494,112.41,17388,111.73,106,0.68,0,0,505,99.93,99.88,99.84,17505,112.44,17410,111.83,95,0.61,0,0,506,100,99.95,99.91,"smaltalign_genome","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","25","5","5","0","15",0,0,"0","0",0,17494,0,0,106,0,0.998617,0.991909,0.998371,0.998658,0.99513,393.06,4.15," 2;10.21",1431472,401528," 305%"
"V2.245","SIM_A1_lowcov_cont","replicate14",1384,8639,1261,334.0667,23.5901,"viralngs_genome",1,1,1,0,0,0,8458,8458,8458,0,0,0,1,8458,8458,8639,"40.07",40.03,8458,"8458",1,"1",15373,8800,8800,85.27,112.44,68.3,111.83,379,506,83.25,100,"0","0","0","0","0","4","0","0 + 0 part",0,"82.26","1",17947.51,"846.38","84.64","7089","7089","7089","7089","1","1","SIM_A1_lowcov_cont_replicate14_viralngs_genome",15373,8800,8800,13109,85.27,10500,68.3,2609,16.97,0,0,379,83.25,83.25,83.23,17505,112.44,17410,111.83,95,0.61,0,0,506,100,99.95,99.91,"viralngs_genome","0","0","0","0","0","0","0","0","0","0","0","0","0","4","0","60","6","6","0","18",0,0,"0","0",1518,13109,0,0,4491,0,0.958175,0.989807,0.711726,0.998792,0.828044,97.87,5.94," 0;41.05",682568,464544," 252%"
"V2.345","SIM_A1_lowcov_cont","replicate14",1384,8639,1261,334.0667,23.5901,"vpipe_genome",1,1,1,0,0,0,8618,8618,8618,0,0,0,1,8618,8618,8639,"40.57",40.03,8618,"8618",1,"1",15295,8800,8800,103.48,112.44,93.99,111.83,450,506,99.16,100,"0","0","0","0","0","0","0","0 + 1 part",2800,"67.56","0.999",0,"2096.94","343.76","5818","5818","5818","5818","1","1","SIM_A1_lowcov_cont_replicate14_vpipe_genome",15295,8800,8800,15827,103.48,14376,93.99,1451,9.49,0,0,450,99.16,99.12,99.07,17505,112.44,17410,111.83,95,0.61,0,0,506,100,99.95,99.91,"vpipe_genome","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","122","20","17","3","59",0,0,"1","2800",0,15827,0,0,1773,0,0.97903,0.946246,0.903094,0.991545,0.924167,414.39,155.5," 5;22.21",1182864,13239488," 176%"
"V246","SIM_A1_lowcov_cont","replicate15",894,8639,1176,206.10525,16.83152,"shiver_genome",1,1,1,0,0,0,8612,8612,8612,0,0,0,1,8612,8612,8639,"40.61",40.5,8612,"8612",1,"1",15387,8800,8800,113.78,113.76,113.17,113.16,505,506,100,99.98,"0","0","0","0","0","0","0","0 + 0 part",0,"99.965","0.999",0,"92.93","92.93","8609","8609","8609","8609","1","1","SIM_A1_lowcov_cont_replicate15_shiver_genome",15387,8800,8800,17507,113.78,17414,113.17,93,0.6,0,0,505,100,99.97,99.92,17508,113.76,17416,113.16,92,0.6,0,0,506,99.98,99.97,99.92,"shiver_genome","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","8","8","5","3","39",0,0,"0","0",0,17507,0,0,93,0,0.996887,0.980651,0.995536,0.997087,0.988037,3199.62,51.37," 52;42.76",1343112,13013480," 102%"
"V2.146","SIM_A1_lowcov_cont","replicate15",894,8639,1176,206.10525,16.83152,"smaltalign_genome",1,1,1,0,0,0,8621,8621,8621,0,0,0,1,8621,8621,8639,"40.61",40.5,8621,"8621",1,"1",15382,8800,8800,113.63,113.76,112.85,113.16,506,506,100,99.98,"0","0","0","0","0","0","0","0 + 0 part",0,"99.814","1",0,"395.12","58.11","8605","8605","8605","8605","1","1","SIM_A1_lowcov_cont_replicate15_smaltalign_genome",15382,8800,8800,17479,113.63,17358,112.85,121,0.79,0,0,506,100,99.95,99.85,17508,113.76,17416,113.16,92,0.6,0,0,506,99.98,99.97,99.92,"smaltalign_genome","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","34","5","4","1","18",0,0,"0","0",0,17479,0,0,121,0,0.996541,0.977233,0.996429,0.996557,0.986737,391.29,4.56," 2;15.30",1436448,399520," 292%"
"V2.246","SIM_A1_lowcov_cont","replicate15",894,8639,1176,206.10525,16.83152,"viralngs_genome",1,1,1,0,0,0,8610,8610,8610,0,0,0,1,8610,8610,8639,"40.3",40.5,8610,"8610",1,"1",15342,8800,8800,111.71,113.76,108.71,113.16,493,506,98.82,99.98,"0","0","0","0","0","1","0","0 + 0 part",0,"98.69","1",2636.47,"481.9","58.77","8508","8508","8508","8508","1","1","SIM_A1_lowcov_cont_replicate15_viralngs_genome",15342,8800,8800,17139,111.71,16678,108.71,461,3,0,0,493,98.82,98.82,98.82,17508,113.76,17416,113.16,92,0.6,0,0,506,99.98,99.97,99.92,"viralngs_genome","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","41","5","4","1","18",0,0,"0","0",227,17139,0,0,461,0,0.99089,0.979724,0.949107,0.997087,0.964172,100.5,5.98," 0;42.78",692976,461776," 248%"
"V2.346","SIM_A1_lowcov_cont","replicate15",894,8639,1176,206.10525,16.83152,"vpipe_genome",1,1,1,0,0,0,8614,8614,8614,0,0,0,1,8614,8614,8639,"41.07",40.5,8614,"8614",1,"1",15283,8800,8800,105.3,113.76,96.77,113.16,460,506,99.27,99.98,"0","0","0","0","0","0","0","0 + 0 part",0,"99.814","0.999",0,"2884.39","558.27","8598","8598","8598","8598","1","1","SIM_A1_lowcov_cont_replicate15_vpipe_genome",15283,8800,8800,16093,105.3,14790,96.77,1303,8.53,0,0,460,99.27,99.13,99.08,17508,113.76,17416,113.16,92,0.6,0,0,506,99.98,99.97,99.92,"vpipe_genome","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","248","48","42","6","137",0,0,"0","0",0,16093,0,0,1507,0,0.980397,0.936581,0.909821,0.990863,0.923007,405.74,146.7," 5;12.44",1182360,13240336," 176%"
"V247","SIM_A1_lowcov_cont","replicate16",118,8633,1081,47.72202,4.41697,"shiver_genome",1,1,1,0,0,0,8624,8624,8624,0,0,0,1,8624,8624,8633,"40.8",40.8,8624,"8624",1,"1",15302,8800,8800,114.47,114.47,113.92,113.92,507,507,100,100,"0","0","0","0","0","0","0","0 + 0 part",0,"100","1",0,"0","34.79","8624","8624","8624","8624","1","1","SIM_A1_lowcov_cont_replicate16_shiver_genome",15302,8800,8800,17516,114.47,17432,113.92,84,0.55,0,0,507,100,99.95,99.92,17516,114.47,17432,113.92,84,0.55,0,0,507,100,99.95,99.92,"shiver_genome","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","3","0","9",0,0,"0","0",0,17516,0,0,84,0,0.999885,0.997849,1,0.999878,0.998924,1775.18,34.91," 29;53.05",1370852,5815464," 100%"
"V2.147","SIM_A1_lowcov_cont","replicate16",118,8633,1081,47.72202,4.41697,"smaltalign_genome",1,1,1,0,0,0,8624,8624,8624,0,0,0,1,8624,8624,8633,"40.82",40.8,8624,"8624",1,"1",15302,8800,8800,114.47,114.47,113.92,113.92,507,507,100,100,"0","0","0","0","0","0","0","0 + 0 part",0,"100","1",0,"11.6","34.79","8624","8624","8624","8624","1","1","SIM_A1_lowcov_cont_replicate16_smaltalign_genome",15302,8800,8800,17516,114.47,17432,113.92,84,0.55,0,0,507,100,99.95,99.92,17516,114.47,17432,113.92,84,0.55,0,0,507,100,99.95,99.92,"smaltalign_genome","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","3","3","0","9",0,0,"0","0",0,17516,0,0,84,0,0.999769,0.995708,1,0.999756,0.997849,370.49,4.58," 1;57.21",1436592,390392," 320%"
"V2.247","SIM_A1_lowcov_cont","replicate16",118,8633,1081,47.72202,4.41697,"viralngs_genome",1,1,1,0,0,0,8617,8617,8617,0,0,0,1,8617,8617,8633,"40.8",40.8,8617,"8617",1,"1",15302,8800,8800,114.47,114.47,113.92,113.92,507,507,100,100,"0","0","0","0","0","0","0","0 + 0 part",0,"99.988","0.999",0,"0","46.42","8617","8617","8617","8617","1","1","SIM_A1_lowcov_cont_replicate16_viralngs_genome",15302,8800,8800,17516,114.47,17432,113.92,84,0.55,0,0,507,100,99.97,99.93,17516,114.47,17432,113.92,84,0.55,0,0,507,100,99.95,99.92,"viralngs_genome","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","3","1","15",0,0,"0","0",0,17516,0,0,84,0,0.999885,0.997849,1,0.999878,0.998924,110.37,6.43," 0;48.80",754976,456504," 239%"
"V2.347","SIM_A1_lowcov_cont","replicate16",118,8633,1081,47.72202,4.41697,"vpipe_genome",1,1,1,0,0,0,8632,8632,8632,0,0,0,1,8632,8632,8633,"41.09",40.8,8632,"8632",1,"1",15219,8800,8800,110.04,114.47,104.87,113.92,480,507,99.17,100,"0","0","0","0","0","0","0","0 + 0 part",0,"99.849","1.001",0,"1461.89","440.89","8619","8619","8619","8619","1","1","SIM_A1_lowcov_cont_replicate16_vpipe_genome",15219,8800,8800,16747,110.04,15960,104.87,787,5.17,0,0,480,99.17,99.12,99.08,17516,114.47,17432,113.92,84,0.55,0,0,507,100,99.95,99.92,"vpipe_genome","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","126","38","34","4","93",0,0,"0","0",0,16747,0,0,853,0,0.992959,0.937093,0.931034,0.996463,0.934054,378.98,134.04," 5;00.36",1185244,13241112," 170%"
"V248","SIM_A1_lowcov_cont","replicate17",793,8669,1141,245.8303,17.82646,"shiver_genome",1,1,1,0,0,0,8624,8624,8624,0,0,0,1,8624,8624,8669,"-",40.64,8624,"8624",1,"1",17600,8800,8800,0,111.92,0,111.39,0,505,0,100,"-","-","-","-","-","-","-","1 + 0 part",8624,"-","-",1e+05,"-","-","-","-","-","-","-","-","SIM_A1_lowcov_cont_replicate17_shiver_genome",17600,8800,8800,0,0,0,0,0,0,0,0,0,0,0,0,17516,111.92,17432,111.39,84,0.54,0,0,505,100,99.95,99.9,"shiver_genome","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",1,8624,"-","-",8624,0,0,0,17600,0,0.867857,0,0,1,0,237.1,8.36," 3;46.42",290984,2484656," 108%"
"V2.148","SIM_A1_lowcov_cont","replicate17",793,8669,1141,245.8303,17.82646,"smaltalign_genome",1,1,1,0,0,0,8624,8624,8624,0,0,0,1,8624,8624,8669,"40.63",40.64,8624,"8624",1,"1",15630,8800,8800,111.94,111.92,111.27,111.39,505,505,99.93,100,"0","0","0","0","0","0","0","0 + 0 part",0,"99.409","1.000",0,"291.61","128.31","8573","8573","8573","8573","1","1","SIM_A1_lowcov_cont_replicate17_smaltalign_genome",15630,8800,8800,17496,111.94,17392,111.27,104,0.67,0,0,505,99.93,99.88,99.83,17516,111.92,17432,111.39,84,0.54,0,0,505,100,99.95,99.9,"smaltalign_genome","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","25","11","9","2","45",0,0,"0","0",0,17496,0,0,104,0,0.997714,0.982996,1,0.997366,0.991425,396.66,4.59," 2;20.26",1436568,401944," 286%"
