"Dataset","Sample","Length_of_benchmarking_reference","Distance_from_HXB2","Assembly","contigs_..._0_bp.","contigs_..._1000_bp.","contigs_..._5000_bp.","contigs_..._10000_bp.","contigs_..._25000_bp.","contigs_..._50000_bp.","Total_length_..._0_bp.","Total_length_..._1000_bp.","Total_length_..._5000_bp.","Total_length_..._10000_bp.","Total_length_..._25000_bp.","Total_length_..._50000_bp.","contigs","Largest_contig","Total_length","Reference_length","GC_...","Reference_GC_...","N50","NG50","N90","NG90","auN","auNG","L50","LG50","L90","LG90","total_reads","left","right","Mapped_...","Reference_mapped_...","Properly_paired_...","Reference_properly_paired_...","Avg_coverage_depth","Reference_avg_coverage_depth","Coverage_.._1x_...","Reference_coverage_.._1x_...","misassemblies","misassembled_contigs","Misassembled_contigs_length","local_misassemblies","scaffold_gap_ext_mis","scaffold_gap_loc_mis","structural_variations","unaligned_mis_contigs","unaligned_contigs","Unaligned_length","Genome_fraction_...","Duplication_ratio","N.s_per_100_kbp","mismatches_per_100_kbp","indels_per_100_kbp","Largest_alignment","Total_aligned_length","NA50","NGA50","NA90","NGA90","auNA","auNGA","LA50","LGA50","LA90","LGA90","ID","total_reads.1","left.1","right.1","mapped","Mapped_....1","properly_paired","Properly_paired_....1","singletons","Singletons_...","misjoint_mates","Misjoint_mates_...","Avg_coverage_depth.1","Coverage_.._1x_....1","Coverage_.._5x_...","Coverage_.._10x_...","reference_mapped","Reference_mapped_....1","reference_properly_paired","Reference_properly_paired_....1","reference_singletons","Reference_singletons_...","reference_misjoint_mates","Reference_misjoint_mates_...","Reference_avg_coverage_depth.1","Reference_coverage_.._1x_....1","Reference_coverage_.._5x_...","Reference_coverage_.._10x_...","Assembly.1","misassemblies.1","contig_misassemblies","c_relocations","c_translocations","c_inversions","scaffold_misassemblies","s_relocations","s_translocations","s_inversions","misassembled_contigs.1","Misassembled_contigs_length.1","local_misassemblies.1","scaffold_gap_ext_mis.1","scaffold_gap_loc_mis.1","structural_variations.1","unaligned_mis_contigs.1","mismatches","indels","indels_..._5_bp.","indels_.._5_bp.","Indels_length","fully_unaligned_contigs","Fully_unaligned_length","partially_unaligned_contigs","Partially_unaligned_length","N.s","pos_correct","poserr_major","poserr_ltr","poserr_unmapped","poserr_extramapped","Accuracy","Precision","Sensitivity","Specificity","F1score","User_time","System_time","Elapsed_time","MRSS","File_outputs","CPU_percentage"
"V2.219","SSNGS_HUN_INT","SSNGS_23.2020_INT",1155,NA,"viralngs_genome",1,1,0,0,0,0,1195,1195,0,0,0,0,1,1195,1195,1155,39.25,39.12,1195,1195,1195,1195,1195,1236.4,1,1,1,1,495671,269882,269882,18.9,18.31,13.99,13.57,10059,10092,100,100,0,0,0,0,0,0,0,0,"0 + 0 part",0,100,1.002,0,173.16,0,1155,1155,"1155","1155","1155","1155",1116.3,1155,"1","1","1","1","SSNGS_HUN_INT_SSNGS_23.2020_INT_viralngs_genome",495671,269882,269882,93660,18.9,69324,13.99,6628,1.34,0,0,10059,100,100,100,90979,18.31,67432,13.57,6385,1.29,0,0,10092,100,100,100,"viralngs_genome",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,90989,0,0,446104,2671,0.973222,0.952465,0.990842,0.958398,0.971275,644.44,20.71," 5;15.18",1294828,4802424," 211%"
"V2.319","SSNGS_HUN_INT","SSNGS_23.2020_INT",1155,NA,"vpipe_genome",1,1,0,0,0,0,1195,1195,0,0,0,0,1,1195,1195,1155,39.25,39.12,1195,1195,1195,1195,1195,1236.4,1,1,1,1,495675,269882,269882,18.89,18.31,13.99,13.57,10058,10092,100,100,0,0,0,0,0,0,0,0,"0 + 0 part",0,100,1.002,0,173.16,0,1155,1155,"1155","1155","1155","1155",1116.3,1155,"1","1","1","1","SSNGS_HUN_INT_SSNGS_23.2020_INT_vpipe_genome",495675,269882,269882,93656,18.89,69324,13.99,6626,1.34,0,0,10058,100,100,100,90979,18.31,67432,13.57,6385,1.29,0,0,10092,100,100,100,"vpipe_genome",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,90987,0,0,446108,2669,0.974895,0.952632,0.994505,0.958398,0.973118,19425.55,2670.49," 1;39;02",1196772,18529104," 371%"
"V220","SSNGS_HUN_INT","SSNGS_26.2020_INT",1006,NA,"shiver_genome",1,1,0,0,0,0,1195,1195,0,0,0,0,1,1195,1195,1006,39.5,39.3,1195,1195,1195,1195,1195,1419.5,1,1,1,1,543853,287956,287956,12.8,8.72,9.41,5.82,8306,6762,100,100,0,0,0,0,0,0,0,0,"0 + 0 part",0,100,1.001,0,0,0,1006,1006,"1006","1006","-","1006",846.9,1006,"1","1","-","1","SSNGS_HUN_INT_SSNGS_26.2020_INT_shiver_genome",543853,287956,287956,69601,12.8,51202,9.41,15579,2.86,0,0,8306,100,100,100,48157,8.72,32138,5.82,13705,2.48,0,0,6762,100,100,100,"shiver_genome",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48152,0,0,506311,21449,0.876151,0.734062,0.995062,0.81519,0.844864,1801.86,26.3," 29;19.50",1551668,8433320," 103%"
"V2.120","SSNGS_HUN_INT","SSNGS_26.2020_INT",1006,NA,"smaltalign_genome",1,1,0,0,0,0,1195,1195,0,0,0,0,1,1195,1195,1006,39.5,39.3,1195,1195,1195,1195,1195,1419.5,1,1,1,1,543851,287956,287956,12.8,8.72,9.42,5.82,8307,6762,100,100,0,0,0,0,0,0,0,0,"0 + 0 part",0,100,1.001,0,0,0,1006,1006,"1006","1006","-","1006",846.9,1006,"1","1","-","1","SSNGS_HUN_INT_SSNGS_26.2020_INT_smaltalign_genome",543851,287956,287956,69607,12.8,51204,9.42,15581,2.86,0,0,8307,100,100,100,48157,8.72,32138,5.82,13705,2.48,0,0,6762,100,100,100,"smaltalign_genome",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48151,0,0,506305,21456,0.876987,0.735401,0.995062,0.816456,0.84575,937.41,7.81," 5;46.16",1425620,1390312," 273%"
"V2.220","SSNGS_HUN_INT","SSNGS_26.2020_INT",1006,NA,"viralngs_genome",1,1,0,0,0,0,1195,1195,0,0,0,0,1,1195,1195,1006,39.5,39.3,1195,1195,1195,1195,1195,1419.5,1,1,1,1,543854,287956,287956,12.8,8.72,9.42,5.82,8307,6762,100,100,0,0,0,0,0,0,0,0,"0 + 0 part",0,100,1.001,0,0,0,1006,1006,"1006","1006","-","1006",846.9,1006,"1","1","-","1","SSNGS_HUN_INT_SSNGS_26.2020_INT_viralngs_genome",543854,287956,287956,69606,12.8,51208,9.42,15578,2.86,0,0,8307,100,100,100,48157,8.72,32138,5.82,13705,2.48,0,0,6762,100,100,100,"viralngs_genome",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48152,0,0,506306,21454,0.876151,0.734918,0.992593,0.816456,0.844538,834.53,25.32," 5;47.93",1269240,6153344," 247%"
"V2.320","SSNGS_HUN_INT","SSNGS_26.2020_INT",1006,NA,"vpipe_genome",1,1,0,0,0,0,1195,1195,0,0,0,0,1,1195,1195,1006,39.5,39.3,1195,1195,1195,1195,1195,1419.5,1,1,1,1,543856,287956,287956,12.8,8.72,9.42,5.82,8306,6762,100,100,0,0,0,0,0,0,0,0,"0 + 0 part",0,100,1.001,0,0,0,1006,1006,"1006","1006","-","1006",846.9,1006,"1","1","-","1","SSNGS_HUN_INT_SSNGS_26.2020_INT_vpipe_genome",543856,287956,287956,69604,12.8,51206,9.42,15578,2.86,0,0,8306,100,100,100,48157,8.72,32138,5.82,13705,2.48,0,0,6762,100,100,100,"vpipe_genome",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48152,0,0,506308,21452,0.876151,0.734918,0.992593,0.816456,0.844538,31313.42,7090.35," 2;50;17",1183960,18727448," 375%"
"V221","SSNGS_HUN_INT","SSNGS_4.2018_INT",1189,NA,"shiver_genome",1,1,0,0,0,0,1195,1195,0,0,0,0,1,1195,1195,1189,39.83,39.78,1195,1195,1195,1195,1195,1201,1,1,1,1,563910,289542,289542,8,7.94,5.96,5.92,4888,4878,100,100,0,0,0,0,0,0,0,0,"0 + 0 part",0,100,1.004,0,0,0,1189,1189,"1189","1189","1189","1189",1183,1189,"1","1","1","1","SSNGS_HUN_INT_SSNGS_4.2018_INT_shiver_genome",563910,289542,289542,45090,8,33632,5.96,2716,0.48,0,0,4888,100,100,100,44795,7.94,33366,5.92,2741,0.49,0,0,4878,100,100,100,"shiver_genome",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44794,0,0,533994,296,0.989958,0.98103,0.986376,0.991546,0.983696,1655.31,33.79," 26;52.65",1377732,9556688," 104%"
"V2.121","SSNGS_HUN_INT","SSNGS_4.2018_INT",1189,NA,"smaltalign_genome",1,1,0,0,0,0,1195,1195,0,0,0,0,1,1195,1195,1189,39.83,39.78,1195,1195,1195,1195,1195,1201,1,1,1,1,563912,289542,289542,8,7.94,5.96,5.92,4888,4878,100,100,0,0,0,0,0,0,0,0,"0 + 0 part",0,100,1.004,0,0,0,1189,1189,"1189","1189","1189","1189",1183,1189,"1","1","1","1","SSNGS_HUN_INT_SSNGS_4.2018_INT_smaltalign_genome",563912,289542,289542,45092,8,33634,5.96,2714,0.48,0,0,4888,100,100,100,44795,7.94,33366,5.92,2741,0.49,0,0,4878,100,100,100,"smaltalign_genome",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44794,0,0,533992,298,0.987448,0.980874,0.978202,0.991546,0.979536,800.41,6.76," 5;40.32",1425736,1288472," 237%"
"V2.221","SSNGS_HUN_INT","SSNGS_4.2018_INT",1189,NA,"viralngs_genome",1,1,0,0,0,0,1195,1195,0,0,0,0,1,1195,1195,1189,39.75,39.78,1195,1195,1195,1195,1195,1201,1,1,1,1,563912,289542,289542,8,7.94,5.96,5.92,4887,4878,100,100,0,0,0,0,0,0,0,0,"0 + 0 part",0,100,1.004,0,0,0,1189,1189,"1189","1189","1189","1189",1183,1189,"1","1","1","1","SSNGS_HUN_INT_SSNGS_4.2018_INT_viralngs_genome",563912,289542,289542,45088,8,33632,5.96,2712,0.48,0,0,4887,100,100,100,44795,7.94,33366,5.92,2741,0.49,0,0,4878,100,100,100,"viralngs_genome",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44794,0,0,533996,294,0.989958,0.98103,0.986376,0.991546,0.983696,744.55,22.58," 5;59.06",1269884,5363944," 213%"
"V2.321","SSNGS_HUN_INT","SSNGS_4.2018_INT",1189,NA,"vpipe_genome",1,1,0,0,0,0,1195,1195,0,0,0,0,1,1195,1195,1189,39.83,39.78,1195,1195,1195,1195,1195,1201,1,1,1,1,563911,289542,289542,8,7.94,5.96,5.92,4888,4878,100,100,0,0,0,0,0,0,0,0,"0 + 0 part",0,100,1.004,0,0,0,1189,1189,"1189","1189","1189","1189",1183,1189,"1","1","1","1","SSNGS_HUN_INT_SSNGS_4.2018_INT_vpipe_genome",563911,289542,289542,45091,8,33634,5.96,2715,0.48,0,0,4888,100,100,100,44795,7.94,33366,5.92,2741,0.49,0,0,4878,100,100,100,"vpipe_genome",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44794,0,0,533993,297,0.987448,0.980874,0.978202,0.991546,0.979536,34010.46,7854.37," 3;02;32",1179876,17883448," 382%"
"V222","SSNGS_HUN_INT","SSNGS_4.2020.1_INT",992,NA,"shiver_genome",1,1,0,0,0,0,1195,1195,0,0,0,0,1,1195,1195,992,38.49,38.94,1195,1195,1195,1195,1195,1439.5,1,1,1,1,540972,279003,279003,8.47,7.39,6.52,5.66,5028,5305,100,100,0,0,0,0,0,0,0,0,"0 + 0 part",0,100,1.011,0,302.42,0,992,992,"992","992","-","992",823.5,992,"1","1","-","1","SSNGS_HUN_INT_SSNGS_4.2020.1_INT_shiver_genome",540972,279003,279003,45795,8.47,35272,6.52,1965,0.36,0,0,5028,100,100,100,40081,7.39,30694,5.66,2077,0.38,0,0,5305,100,100,100,"shiver_genome",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,40081,0,0,512211,5714,0.918828,0.776119,0.978056,0.89726,0.865465,2236.04,39.93," 35;58.83",1648680,10991784," 105%"
"V2.122","SSNGS_HUN_INT","SSNGS_4.2020.1_INT",992,NA,"smaltalign_genome",1,1,0,0,0,0,1195,1195,0,0,0,0,1,1195,1195,992,38.49,38.94,1195,1195,1195,1195,1195,1439.5,1,1,1,1,540975,279003,279003,8.47,7.39,6.52,5.66,5027,5305,100,100,0,0,0,0,0,0,0,0,"0 + 0 part",0,100,1.011,0,302.42,0,992,992,"992","992","-","992",823.5,992,"1","1","-","1","SSNGS_HUN_INT_SSNGS_4.2020.1_INT_smaltalign_genome",540975,279003,279003,45794,8.47,35274,6.52,1962,0.36,0,0,5027,100,100,100,40081,7.39,30694,5.66,2077,0.38,0,0,5305,100,100,100,"smaltalign_genome",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,40081,0,0,512212,5713,0.917155,0.775,0.971787,0.89726,0.862309,800.06,7.09," 4;51.13",1425880,1308920," 277%"
"V2.222","SSNGS_HUN_INT","SSNGS_4.2020.1_INT",992,NA,"viralngs_genome",1,1,0,0,0,0,1195,1195,0,0,0,0,1,1195,1195,992,38.41,38.94,1195,1195,1195,1195,1195,1439.5,1,1,1,1,540972,279003,279003,8.46,7.39,6.52,5.66,5027,5305,100,100,0,0,0,0,0,0,0,0,"0 + 0 part",0,100,1.011,0,302.42,0,992,992,"992","992","-","992",823.5,992,"1","1","-","1","SSNGS_HUN_INT_SSNGS_4.2020.1_INT_viralngs_genome",540972,279003,279003,45781,8.46,35256,6.52,1967,0.36,0,0,5027,100,100,100,40081,7.39,30694,5.66,2077,0.38,0,0,5305,100,100,100,"viralngs_genome",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,40082,0,0,512225,5699,0.915481,0.7725,0.968652,0.896119,0.859527,716.26,23.57," 5;17.58",1221568,5467784," 232%"
"V2.322","SSNGS_HUN_INT","SSNGS_4.2020.1_INT",992,NA,"vpipe_genome",1,1,0,0,0,0,1195,1195,0,0,0,0,1,1195,1195,992,38.49,38.94,1195,1195,1195,1195,1195,1439.5,1,1,1,1,540972,279003,279003,8.47,7.39,6.52,5.66,5028,5305,100,100,0,0,0,0,0,0,0,0,"0 + 0 part",0,100,1.011,0,302.42,0,992,992,"992","992","-","992",823.5,992,"1","1","-","1","SSNGS_HUN_INT_SSNGS_4.2020.1_INT_vpipe_genome",540972,279003,279003,45797,8.47,35274,6.52,1965,0.36,0,0,5028,100,100,100,40081,7.39,30694,5.66,2077,0.38,0,0,5305,100,100,100,"vpipe_genome",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,40082,0,0,512209,5715,0.917155,0.775,0.971787,0.89726,0.862309,28442.87,5859.8," 2;30;13",1239108,17831808," 380%"
"V223","SSNGS_HUN_INT","SSNGS_4.2020.2_INT",992,NA,"shiver_genome",1,1,0,0,0,0,1195,1195,0,0,0,0,1,1195,1195,992,38.41,38.94,1195,1195,1195,1195,1195,1439.5,1,1,1,1,961566,480792,480792,0.08,0.07,0.07,0.06,86,89,100,100,0,0,0,0,0,0,0,0,"0 + 0 part",0,100,1.011,0,403.23,0,992,992,"992","992","-","992",823.5,992,"1","1","-","1","SSNGS_HUN_INT_SSNGS_4.2020.2_INT_shiver_genome",961566,480792,480792,761,0.08,652,0.07,11,0,0,0,86,100,99,97.57,652,0.07,532,0.06,40,0,0,0,89,100,100,100,"shiver_genome",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,652,0,0,960823,109,0.994979,0.857143,0.75,0.998304,0.8,1749.77,41.32," 28;26.59",1351700,14038336," 104%"
"V2.123","SSNGS_HUN_INT","SSNGS_4.2020.2_INT",992,NA,"smaltalign_genome",1,1,0,0,0,0,1195,1195,0,0,0,0,1,1195,1195,992,38.49,38.94,1195,1195,1195,1195,1195,1439.5,1,1,1,1,961566,480792,480792,0.08,0.07,0.07,0.06,86,89,100,100,0,0,0,0,0,0,0,0,"0 + 0 part",0,100,1.011,0,302.42,0,992,992,"992","992","-","992",823.5,992,"1","1","-","1","SSNGS_HUN_INT_SSNGS_4.2020.2_INT_smaltalign_genome",961566,480792,480792,761,0.08,652,0.07,11,0,0,0,86,100,99,97.57,652,0.07,532,0.06,40,0,0,0,89,100,100,100,"smaltalign_genome",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,652,0,0,960823,109,0.994979,0.857143,0.75,0.998304,0.8,1163.01,8.63," 7;21.65",1426040,1318584," 265%"
"V2.223","SSNGS_HUN_INT","SSNGS_4.2020.2_INT",992,NA,"viralngs_genome",1,1,0,0,0,0,1195,1195,0,0,0,0,1,1195,1195,992,38.49,38.94,1195,1195,1195,1195,1195,1439.5,1,1,1,1,961566,480792,480792,0.08,0.07,0.07,0.06,86,89,100,100,0,0,0,0,0,0,0,0,"0 + 0 part",0,100,1.011,0,302.42,0,992,992,"992","992","-","992",823.5,992,"1","1","-","1","SSNGS_HUN_INT_SSNGS_4.2020.2_INT_viralngs_genome",961566,480792,480792,761,0.08,652,0.07,11,0,0,0,86,100,99,97.57,652,0.07,532,0.06,40,0,0,0,89,100,100,100,"viralngs_genome",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,652,0,0,960823,109,0.994979,0.857143,0.75,0.998304,0.8,1221.4,33.47," 8;07.19",1425248,8856768," 257%"
"V2.323","SSNGS_HUN_INT","SSNGS_4.2020.2_INT",992,NA,"vpipe_genome",1,1,0,0,0,0,1195,1195,0,0,0,0,1,1195,1195,992,38.49,38.94,1195,1195,1195,1195,1195,1439.5,1,1,1,1,961566,480792,480792,0.08,0.07,0.07,0.06,86,89,100,100,0,0,0,0,0,0,0,0,"0 + 0 part",0,100,1.011,0,302.42,0,992,992,"992","992","-","992",823.5,992,"1","1","-","1","SSNGS_HUN_INT_SSNGS_4.2020.2_INT_vpipe_genome",961566,480792,480792,761,0.08,652,0.07,11,0,0,0,86,100,99,97.57,652,0.07,532,0.06,40,0,0,0,89,100,100,100,"vpipe_genome",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,652,0,0,960823,109,0.994979,0.857143,0.75,0.998304,0.8,38763.17,8899.71," 3;28;17",1187604,18726648," 381%"
"V224","SSNGS_HUN_INT","SSNGS_49.2018_INT",1189,NA,"shiver_genome",1,1,0,0,0,0,1195,1195,0,0,0,0,1,1195,1195,1189,39.5,39.6,1195,1195,1195,1195,1195,1201,1,1,1,1,526437,285721,285721,18.43,18.28,14.83,14.67,11676,11645,100,100,0,0,0,0,0,0,0,0,"0 + 0 part",0,100,1.002,0,0,0,1189,1189,"1189","1189","1189","1189",1183,1189,"1","1","1","1","SSNGS_HUN_INT_SSNGS_49.2018_INT_shiver_genome",526437,285721,285721,97028,18.43,78086,14.83,15092,2.87,0,0,11676,100,100,100,96246,18.28,77238,14.67,15184,2.88,0,0,11645,100,100,100,"shiver_genome",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96244,0,0,474414,784,0.994142,0.994863,0.993162,0.995082,0.994012,1737.94,34.3," 28;25.93",1544764,9945272," 103%"
"V2.124","SSNGS_HUN_INT","SSNGS_49.2018_INT",1189,NA,"smaltalign_genome",1,1,0,0,0,0,1195,1195,0,0,0,0,1,1195,1195,1189,39.5,39.6,1195,1195,1195,1195,1195,1201,1,1,1,1,526437,285721,285721,18.43,18.28,14.83,14.67,11677,11645,100,100,0,0,0,0,0,0,0,0,"0 + 0 part",0,100,1.002,0,0,0,1189,1189,"1189","1189","1189","1189",1183,1189,"1","1","1","1","SSNGS_HUN_INT_SSNGS_49.2018_INT_smaltalign_genome",526437,285721,285721,97031,18.43,78086,14.83,15091,2.87,0,0,11677,100,100,100,96246,18.28,77238,14.67,15184,2.88,0,0,11645,100,100,100,"smaltalign_genome",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96244,0,0,474411,787,0.994142,0.994863,0.993162,0.995082,0.994012,825.97,7.02," 5;01.35",1425736,1397576," 276%"
"V2.224","SSNGS_HUN_INT","SSNGS_49.2018_INT",1189,NA,"viralngs_genome",1,1,0,0,0,0,1194,1194,0,0,0,0,1,1194,1194,1189,39.43,39.6,1194,1194,1194,1194,1194,1199,1,1,1,1,530044,285721,285721,15.17,18.28,10.48,14.67,9449,11645,85.59,100,0,0,0,0,0,0,0,0,"0 + 0 part",0,91.575,1.002,14405.36,0,0,1089,1089,"1089","1089","1089","1089",993.2,997.4,"1","1","1","1","SSNGS_HUN_INT_SSNGS_49.2018_INT_viralngs_genome",530044,285721,285721,80407,15.17,55544,10.48,21617,4.08,0,0,9449,85.59,85.59,85.59,96246,18.28,77238,14.67,15184,2.88,0,0,11645,100,100,100,"viralngs_genome",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,172,79620,0,0,491035,787,0.853556,0.976744,0.717949,0.983607,0.827586,867.06,25.29," 6;07.16",1259348,6269984," 243%"
"V2.324","SSNGS_HUN_INT","SSNGS_49.2018_INT",1189,NA,"vpipe_genome",1,1,0,0,0,0,1195,1195,0,0,0,0,1,1195,1195,1189,39.5,39.6,1195,1195,1195,1195,1195,1201,1,1,1,1,526438,285721,285721,18.43,18.28,14.83,14.67,11676,11645,100,100,0,0,0,0,0,0,0,0,"0 + 0 part",0,100,1.002,0,0,0,1189,1189,"1189","1189","1189","1189",1183,1189,"1","1","1","1","SSNGS_HUN_INT_SSNGS_49.2018_INT_vpipe_genome",526438,285721,285721,97030,18.43,78086,14.83,15090,2.87,0,0,11676,100,100,100,96246,18.28,77238,14.67,15184,2.88,0,0,11645,100,100,100,"vpipe_genome",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96242,0,0,474412,788,0.991632,0.989779,0.993162,0.990164,0.991468,27170.7,5853.18," 2;26;11",1182640,18502872," 376%"
"V225","SSNGS_HUN_INT","SSNGS_49.2021_INT",1177,NA,"shiver_genome",1,1,0,0,0,0,1195,1195,0,0,0,0,1,1195,1195,1177,38.83,38.89,1195,1195,1195,1195,1195,1213.3,1,1,1,1,538020,271513,271513,3.97,3.9,3.09,3.01,2414,2404,100,100,0,0,0,0,0,0,0,0,"0 + 0 part",0,100,1.002,0,84.96,0,1177,1177,"1177","1177","1177","1177",1159.3,1177,"1","1","1","1","SSNGS_HUN_INT_SSNGS_49.2021_INT_shiver_genome",538020,271513,271513,21364,3.97,16612,3.09,1666,0.31,0,0,2414,100,100,100,20962,3.9,16214,3.01,1722,0.32,0,0,2404,100,100,100,"shiver_genome",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,20962,0,0,521662,402,0.984937,0.960474,0.968127,0.989407,0.964286,2038.06,35.59," 32;57.23",1454672,10492224," 104%"
"V2.125","SSNGS_HUN_INT","SSNGS_49.2021_INT",1177,NA,"smaltalign_genome",1,1,0,0,0,0,1195,1195,0,0,0,0,1,1195,1195,1177,38.83,38.89,1195,1195,1195,1195,1195,1213.3,1,1,1,1,538020,271513,271513,3.97,3.9,3.09,3.01,2414,2404,100,100,0,0,0,0,0,0,0,0,"0 + 0 part",0,100,1.002,0,84.96,0,1177,1177,"1177","1177","1177","1177",1159.3,1177,"1","1","1","1","SSNGS_HUN_INT_SSNGS_49.2021_INT_smaltalign_genome",538020,271513,271513,21362,3.97,16610,3.09,1668,0.31,0,0,2414,100,100,100,20962,3.9,16214,3.01,1722,0.32,0,0,2404,100,100,100,"smaltalign_genome",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,20961,0,0,521664,401,0.983264,0.952941,0.968127,0.987288,0.960474,867.39,7.22," 5;09.15",1426000,1337576," 282%"
"V2.225","SSNGS_HUN_INT","SSNGS_49.2021_INT",1177,NA,"viralngs_genome",1,1,0,0,0,0,1195,1195,0,0,0,0,1,1195,1195,1177,38.91,38.89,1195,1195,1195,1195,1195,1213.3,1,1,1,1,538033,271513,271513,3.88,3.9,3,3.01,2357,2404,98.08,100,0,0,0,0,0,0,0,0,"0 + 0 part",0,99.574,1.002,1924.69,85.32,0,1172,1172,"1172","1172","1172","1172",1149.4,1167,"1","1","1","1","SSNGS_HUN_INT_SSNGS_49.2021_INT_viralngs_genome",538033,271513,271513,20864,3.88,16120,3,1728,0.32,0,0,2357,98.08,98.08,98.08,20962,3.9,16214,3.01,1722,0.32,0,0,2404,100,100,100,"viralngs_genome",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,23,20864,0,0,522162,0,0.990795,0.972441,0.984064,0.992585,0.978218,730.44,22.76," 5;22.59",1188992,5439224," 233%"
"V2.325","SSNGS_HUN_INT","SSNGS_49.2021_INT",1177,NA,"vpipe_genome",1,1,0,0,0,0,1195,1195,0,0,0,0,1,1195,1195,1177,38.83,38.89,1195,1195,1195,1195,1195,1213.3,1,1,1,1,538020,271513,271513,3.97,3.9,3.09,3.01,2414,2404,100,100,0,0,0,0,0,0,0,0,"0 + 0 part",0,100,1.002,0,84.96,0,1177,1177,"1177","1177","1177","1177",1159.3,1177,"1","1","1","1","SSNGS_HUN_INT_SSNGS_49.2021_INT_vpipe_genome",538020,271513,271513,21362,3.97,16610,3.09,1668,0.31,0,0,2414,100,100,100,20962,3.9,16214,3.01,1722,0.32,0,0,2404,100,100,100,"vpipe_genome",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,20961,0,0,521664,401,0.983264,0.952941,0.968127,0.987288,0.960474,30291.04,6608.65," 2;40;42",1188128,17676400," 382%"
"V226","SSNGS_HUN_INT","SSNGS_53.2019_INT",1006,NA,"shiver_genome",1,1,0,0,0,0,1195,1195,0,0,0,0,1,1195,1195,1006,38.49,38.67,1195,1195,1195,1195,1195,1419.5,1,1,1,1,666117,369081,369081,21.11,15.7,15.3,10.15,16545,14804,100,100,0,0,0,0,0,0,0,0,"0 + 0 part",0,100,1,0,99.4,0,1006,1006,"1006","1006","-","1006",846.9,1006,"1","1","-","1","SSNGS_HUN_INT_SSNGS_53.2019_INT_shiver_genome",666117,369081,369081,140647,21.11,101904,15.3,30817,4.63,0,0,16545,100,100,100,106521,15.7,68854,10.15,31243,4.61,0,0,14804,100,100,100,"shiver_genome",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,106514,0,0,597515,34133,0.899582,0.787546,0.990783,0.847569,0.877551,2428.64,34.49," 39;10.79",1546904,13068832," 104%"
